noaa,icao
724580,KCNK
724585,KRSL
724586,KSLN
724604,KEHA
724650,KGLD
724655,KHLC
745430,KPTT
745431,KPPF
720353,K1A6
720379,KEKQ
720445,KAAS
720446,KBRY
720447,KCEY
720448,KDVK
720449,KDWU
720451,KEKX
720452,KFGX
720453,KHVC
720455,KI39
720456,KIOB
720457,KCPF
720458,KSJS
720464,KPBX
720465,KBYL
722322,KGLW
724190,KJKL
724210,KCVG
724220,KLEX
724230,KSDF
724233,KFFT
724235,KLOU
724237,KOWB
724238,KEHR
724240,KFTK
724243,KLOZ
724350,KPAH
724354,KSME
746710,KHOP
746716,KBWG
749077,KTWT
A06773,KI35
720346,KACP
720352,KCYD
720467,KBXA
720468,KOPL
720587,KIYA
720665,KGBK
720666,KSPR
720718,KMDJ
720719,KEHC
720721,KVBS
720722,KSCF
720739,KMNE
720913,KGHB
720914,KEIR
720916,KGRY
720918,KMIS
720925,KATP
720953,KVKY
720957,KXPY
720967,KHZR
721046,KREG
722041,KGAO
722248,KUXL
722251,KRSN
722253,KBQP
722294,K3L4
722308,K9F2
722310,KMSY
722312,KHDC
722314,KARA
722315,KNEW
722316,KNBG
722319,KIER
722320,KBTR
722329,KPTN
722330,KASD
722334,KDRI
722336,KBVE
722390,KPOE
722400,KLCH
722403,KP92
722404,KCWF
722405,KLFT
722406,KHUM
722480,KSHV
722484,KDTN
722485,KBAD
722486,KMLU
722487,KESF
722488,KTVR
722820,KAQV
722821,KBKB
747540,KAEX
997848,KAGI
722256,KGHG
725059,KBED
725060,KACK
725061,KFMH
725064,KPYM
725065,KEWB
725066,KMVY
725067,KHYA
725068,KTAN
725069,KCQX
725073,KPVC
725075,KAQW
725085,KORE
725088,KBVY
725090,KBOS
725098,KOWD
725100,KORH
725107,KFIT
744104,KPSF
744904,KLWM
744907,KMQE
744910,KCEF
744915,KBAF
720334,KGAI
720355,KCBE
720384,KW29
720699,KDMW
722081,KFDK
722158,KNAK
722158,KNAK
722218,KCGE
722244,KCGS
722823,KRSP
723980,KSBY
724040,KNHK
724043,KESN
724057,KAPG
724060,KBWI
724065,KFME
724066,KHGR
724067,KMTN
725514,KNUI
745940,KADW
745944,KDMH
745946,KOXB
720472,K8B0
726060,KPWM
726064,KSFM
726070,KBGR
726073,KWVL
726077,KBHB
726079,KRKD
726083,KFVE
726183,KIZG
726184,KLEW
726185,KAUG
726190,KGNR
726196,KMLT
727033,KHUL
727119,K40B
727120,KCAR
727130,KPQI
727135,KIWI
743920,KNHZ
720113,KVLL
720198,KP53
720275,KDUH
720284,KFPK
720321,KSLH
720340,KFKS
720371,KHAI
720375,KDRM
720415,KFFX
720629,KIKW
720902,KD95
722007,KCFS
722093,KGOV
722125,KHYX
722145,KMGN
722186,KSJX
722343,KLWA
722346,KRNP
725370,KDTW
725373,KONZ
725374,KARB
725375,KDET
725376,KYIP
725377,KMTC
725378,KOZW
725383,KIRS
725384,KPHN
725386,KP58
725387,KP59
725390,KLAN
725394,KBIV
725395,KJXN
725396,KBTL
725404,KADG
725405,KAMN
725406,KBAX
725407,KGLR
725408,KISQ
725409,KJYM
725414,KOEB
725415,KRMY
725416,KRQB
725417,KTEW
725418,KTTF
725424,KMOP
726284,KSAW
726350,KGRR
726355,KBEH
726357,KAZO
726360,KMKG
726364,KLDM
726370,KFNT
726375,KPTK
726379,KMBS
726380,KHTL
726384,KCAD
726385,KMBL
726387,KTVC
726390,KAPN
726394,KERY
726395,KOSC
726480,KESC
726487,KMNM
727340,KANJ
727344,KCIU
727347,KPLN
727417,KPZQ
727430,KMQT
727434,KCVX
727435,KMCD
727436,KACB
727437,KIMT
727440,KCMX
727445,KIWD
A07359,KY70
720258,KHZX
720283,KFKA
720367,KPEX
720368,KDVP
720386,KBDH
722003,KSYN
722006,KLYV
722032,KACQ
722033,KGDB
722114,KCFE
722129,KJKJ
722144,KMGG
722168,KOVL
722252,KCNB
722342,KTKC
726440,KRST
726466,KAQP
726544,KORB
726547,KGHW
726548,KRRT
726549,KCQM
726550,KSTC
726553,KMVE
726554,KJYG
726555,KBRD
726556,KRWF
726557,KAXN
726558,KCOQ
726559,KMML
726561,KADC
726562,KLVN
726563,KFBL
726564,KRGK
726565,KMOX
726566,KPQN
726567,KULM
726568,KOWA
726569,KHCD
726572,KFFM
726575,KMIC
726577,KANE
726578,KLXL
726579,KFCM
726580,KMSP
726583,KLJF
726584,KSTP
726585,KMKT
726586,KFRM
726587,KOTG
726588,KONA
726589,KAEL
726593,KMJQ
726596,KTOB
726603,KSGS
726679,KROS
726682,KPNM
727444,KTWM
727449,KMZH
727450,KDLH
727452,KCKN
727453,KPKD
727454,KCKC
727455,KHIB
727456,KDYT
727457,KDTL
727458,KGPZ
727459,KELO
727466,KDXX
727467,KFGN
727468,KFOZ
727469,KGNA
727470,KINL
727473,KCDD
727474,KEVM
727475,KJMR
727476,KBDE
727477,KROX
727478,KHCO
727486,KVWU
727497,KXVG
727503,KCBG
727504,KAIT
727505,KFSE
727506,KMWM
727507,KBBB
727508,KPWC
727514,KSAZ
727515,KVVV
727517,KGYL
727533,KETH
727550,KBJI
727555,KTVF
727556,KBFW
727566,KAUM
744667,KRYM
A07357,KY63
720169,KFYG
720306,KLXT
720331,KTKX
720475,KEVU
720476,KHAE
720477,KLBO
720478,KLRY
720479,KHFJ
720481,KMAW
