iata,icao,noaa
MHK,KMHK,724555
MPR,KMPR,720432
OJC,KOJC,724468
PPF,KPPF,745431
PTS,KPTS,720436
PTT,KPTT,745430
RSL,KRSL,724585
SLN,KSLN,724586
TOP,KTOP,724560
WLD,KWLD,724502
BRY,KBRY,720446
BWG,KBWG,746716
CEY,KCEY,720447
CVG,KCVG,724210
EKX,KEKX,720451
FFT,KFFT,724233
FTK,KFTK,724240
GLW,KGLW,722322
HOP,KHOP,746710
LEX,KLEX,724220
LOU,KLOU,724235
LOZ,KLOZ,724243
OWB,KOWB,724237
PAH,KPAH,724350
PVL,KPBX,720464
SDF,KSDF,724230
SME,KSME,724354
AEX,KAEX,747540
ARA,KARA,722314
BAD,KBAD,722485
BTR,KBTR,722320
BXA,KBXA,720467
CWF,KCWF,722404
DRI,KDRI,722334
DTN,KDTN,722484
ESF,KESF,722487
HUM,KHUM,722406
LCH,KLCH,722400
LFT,KLFT,722405
MLU,KMLU,722486
MSY,KMSY,722310
NBG,KNBG,722316
NEW,KNEW,722315
OPL,KOPL,720468
POE,KPOE,722390
PTN,KPTN,722329
RSN,KRSN,722251
SHV,KSHV,722480
AUG,KAUG,726185
BGR,KBGR,726070
BHB,KBHB,726077
CAR,KCAR,727120
FRY,KIZG,726183
HUL,KHUL,727033
ISS,KIWI,727135
LEW,KLEW,726184
MLT,KMLT,726196
NHZ,KBXM,
OLD,KOLD,
OWK,KOWK,
PNN,KPNN,
PQI,KPQI,727130
PWM,KPWM,726060
RKD,KRKD,726079
SFM,KSFM,726064
WFK,KFVE,726083
WVL,KWVL,726073
ADW,KADW,745940
ANP,KANP,
APG,KAPG,724057
BWI,KBWI,724060
CBE,KCBE,720355
CGE,KCGE,722218
CGS,KCGS,722244
ESN,KESN,724043
FDK,KFDK,722081
FME,KFME,724065
GAI,KGAI,720334
HGR,KHGR,724066
MTN,KMTN,724067
NHK,KNHK,724040
OCE,KOXB,745946
SBY,KSBY,723980
ACK,KACK,725060
ARE,TJAB,
BAF,KBAF,744915
BED,KBED,725059
BOS,KBOS,725090
BQN,TJBQ,785140
BVY,KBVY,725088
CPX,TJCP,
EWB,KEWB,725065
FAJ,TJFA,
FMH,KFMH,725061
GBR,KGBR,
GDM,KGDM,
HYA,KHYA,725067
LWM,KLWM,744904
MAZ,TJMZ,
MVY,KMVY,725066
NRR,TJRV,
ORH,KORH,725100
OWD,KOWD,725098
PSF,KPSF,744104
PVC,KPVC,725073
PYM,KPYM,725064
VQS,TJVQ,
ACB,KACB,727436
ADG,KADG,725404
AMN,KAMN,725405
APN,KAPN,726390
ARB,KARB,725374
AZO,KAZO,726357
BEH,KBEH,726355
BTL,KBTL,725396
CAD,KCAD,726384
CIU,KCIU,727344
CMX,KCMX,727440
DRE,KDRM,720375
DTW,KDTW,725370
ESC,KESC,726480
FNT,KFNT,726370
GDW,KGDW,
GLR,KGLR,725407
GRR,KGRR,726350
HAI,KHAI,720371
HLM,KHLM,
HTL,KHTL,726380
IMT,KIMT,727437
IRS,KIRS,725383
ISQ,KISQ,725408
IWD,KIWD,727445
JXN,KJXN,725395
LAN,KLAN,725390
LDM,KLDM,726364
MBL,KMBL,726385
MBS,KMBS,726379
MCD,KMCD,727435
MKG,KMKG,726360
MNM,KMNM,726487
MOP,KMOP,725424
MQT,KSAW,726284
MTC,KMTC,725377
OSC,KOSC,726395
PHN,KPHN,725384
PLN,KPLN,727347
PTK,KPTK,726375
RCT,KRCT,
TVC,KTVC,726387
TZC,KCFS,722007
WBR,KRQB,725416
AEL,KAEL,726589
AUM,KAUM,727566
AXN,KAXN,726557
BBB,KBBB,727507
BDE,KBDE,727476
BJI,KBJI,727550
BRD,KBRD,726555
CKN,KCKN,727452
DLH,KDLH,727450
DTL,KDTL,727457
EVM,KEVM,727474
FBL,KFBL,726563
FCM,KFCM,726579
FFM,KFFM,726572
FRM,KFRM,726586
GPZ,KGPZ,727458
GRM,KCKC,727454
HIB,KHIB,727455
ILL,KBDH,720386
INL,KINL,727470
LYU,KELO,727459
MIC,KMIC,726575
MJQ,KMJQ,726593
MKT,KMKT,726585
MML,KMML,726559
MOX,KMOX,726565
MSP,KMSP,726580
MVE,KMVE,726553
MWM,KMWM,727506
NSL,KDVP,720368
ONA,KONA,726588
OTG,KOTG,726587
OWA,KOWA,726568
PKD,KPKD,727453
ROX,KROX,727477
RRT,KRRT,726548
RST,KRST,726440
RWF,KRWF,726556
STC,KSTC,726550
STP,KSTP,726584
SYN,KSYN,722003
TVF,KTVF,727555
ULM,KULM,726567
BIX,KBIX,747686
CBM,KCBM,723306
CKM,KCKM,720927
CRX,KCRX,720924
DXE,KMBO,
GLH,KGLH,747680
GPT,KGPT,747570
GTR,KGTR,723307
GWO,KGWO,747580
HBG,KHBG,747590
HEZ,KHEZ,722357
HKS,KHKS,722354
JAN,KJAN,722350
LMS,KLMS,722344
LUL,KLUL,720776
MCB,KMCB,722358
MEI,KMEI,722340
MMS,KMMS,
OLV,KOLV,722165
OSX,KOSX,
PGL,KPQL,747688
PIB,KPIB,722348
TUP,KTUP,723320
UBS,KUBS,
UOX,KUOX,720541
UTM,KUTA,722364
VKS,KVKS,722355
AIZ,KAIZ,724459
BKG,KBBG,720616
BUM,KBUM,
CGI,KCGI,723290
COU,KCOU,724450
DMO,KDMO,724453
EOS,KEOS,
FAM,KFAM,724454
IRK,KIRK,724455
JEF,KJEF,724458
JLN,KJLN,723495
KNK,PFKK,
KNT,KTKX,720331
MAW,KMAW,720481
MAW,KMAW,720481
MBY,KMBY,720482
MCI,KMCI,724460
MHL,KMHL,720483
MKC,KMKC,724463
NVD,KNVD,
PLK,KPLK,
POF,KPOF,723300
SGF,KSGF,724400
SIK,KSIK,720488
STJ,KSTJ,724490
STL,KSTL,724340
SUS,KSUS,724345
SZL,KSZL,724467
TBN,KTBN,724457
TRX,KTRX,
VIH,KVIH,724420
BIL,KBIL,726770
BTM,KBTM,727740
BZN,KBZN,726797
CTB,KCTB,727690
DLN,KDLN,727700
FCA,KGPI,727790
GDV,KGDV,726676
GGW,KGGW,727680
GTF,KGTF,727750
HLN,KHLN,727720
HVR,KHVR,727770
JDN,KJDN,727684
LVM,KLVM,726798
